EPOCH,EPOCH_START_DATE,EPOCH_END_DATE,NUM_SWAPS,TOTAL_VOLUME_SOL,SOL_TO_JITOSOL_VOLUME,JITOSOL_TO_SOL_VOLUME,NET_SOL_FLOW,TOTAL_VOLUME_USD,AVG_SWAP_SIZE_SOL,AVG_SWAP_SIZE_USD,MAX_SWAP_SOL,P95_SWAP_SOL,AVG_PRICE_RATIO,MIN_PRICE_RATIO,MAX_PRICE_RATIO,PRICE_RATIO_STDDEV,ESTIMATED_FEES_SOL
773,2025-04-16,2025-04-18,57356,181789.697396536,130298.544372268,51491.153024268,78807.391348,22901158.69787675,3.1694974788432946,399.280959234897,4913.373327114,2.3632698137499997,0.8369963250155241,0.0,2.472499722911709,0.017870133943688155,454.47424349134
774,2025-04-18,2025-04-20,51586,305493.11227268,173241.110151159,132252.002121521,40989.108029638,39901104.72809459,5.9220159010716085,773.4870842494978,38556.43194204,3.53246280125,0.8363979299125983,0.7812818143374004,1.1555221663060296,0.0020268422004551204,763.7327806817
775,2025-04-20,2025-04-22,68927,194604.519261135,126217.728441125,68386.79082001,57830.937621115,25599002.07073499,2.8233423659978674,371.3929529899022,7023.49270287,1.8796174264999932,0.8362260810674671,0.75,0.9464589144818143,0.002005750096933104,486.51129815283747
776,2025-04-22,2025-04-24,84683,393449.720823662,218014.09808396,175435.622739702,42578.475344258004,55291519.351672,4.646147642663368,652.9234834815961,20643.147076278,2.7232274717999996,0.8357991427713676,0.8180756698953322,1.3333333333333335,0.0017292622288429906,983.6243020591551
777,2025-04-24,2025-04-26,79631,174192.077938344,114954.115148162,59237.962790182,55716.152357980005,24788929.784142278,2.1874907754309754,311.2974819372139,11112.183680194,1.4318151659999998,0.8355726447238078,0.8271604938271606,2.0,0.00416694070563999,435.48019484586
778,2025-04-26,2025-04-28,90192,174685.71555438,97671.989786196,77013.725768184,20658.264018012,24423324.292508386,1.9368205112912453,270.79257908138624,3304.29015241,1.5600711031499999,0.8352406734165941,0.7955682963470059,1.5,0.002775952804552916,436.71428888595
779,2025-04-28,2025-04-30,132459,209090.499847396,149201.93711398,59888.562733416,89313.374380564,28960608.865975022,1.578529959062019,218.63828706222318,4140.889053316,1.8141574495999997,0.8348790020729833,0.6043900592910306,0.8682398773647871,0.0007564280365918339,522.72624961849
780,2025-04-30,2025-05-02,97418,284415.354197072,189016.688152918,95398.666044154,93618.022108764,40133991.466568455,2.9195359604700566,411.97716506773344,12498.863599531,2.100139219049998,0.83458632273172,0.8180633104525302,1.0,0.0005934092301323894,711.0383854926799
781,2025-05-02,2025-05-04,78128,162430.819314083,95696.523370102,66734.295943981,28962.227426121,22438156.48005842,2.0790346522896144,287.1973745655645,3215.281652174,2.0002226925,0.8341701962204179,0.7259261333408003,1.5,0.0024685605864114076,406.0770482852075
782,2025-05-04,2025-05-06,126162,225535.78975873,151582.396081732,73953.393676998,77629.002404734,30741000.001546532,1.7876681549018723,243.6629096046871,10672.635650652,2.4379358084999994,0.8338153930805541,0.8228206058634367,1.2,0.001174536512572861,563.839474396825
783,2025-05-06,2025-05-08,82981,228090.215142984,165304.912800673,62785.302342311,102519.610458362,32229028.025057502,2.748704102661862,388.39045112805945,7000.0,2.20800462,0.8335026841440307,0.8003232411518386,1.5,0.0026860764011795327,570.22553785746
784,2025-05-08,2025-05-10,107630,374920.574548807,249227.476568844,125693.097979963,123534.378588881,59135661.30172676,3.483420742811549,549.4347421883002,6500.065,3.9277246895999958,0.8329047174910198,0.7142857142857143,1.0,0.0008067032803518753,937.3014363720175
785,2025-05-10,2025-05-12,89751,420895.802465328,235460.411633211,185435.390832117,50025.020801094004,68918699.54505663,4.689594572376107,767.8878179079522,12902.569981212,3.2768,0.8326097272602743,0.7874150507847659,0.8709677419354839,0.0004063263191729455,1052.2395061633201
786,2025-05-12,2025-05-14,77089,309819.914908959,178412.643756217,131407.271152742,47005.372603475,51456298.45823498,4.018989932531996,667.4920994984366,10207.074388403,2.524360067599998,0.8323517790927903,0.6523476523476524,1.5,0.002926368919037128,774.5497872723976
787,2025-05-14,2025-05-16,78959,182461.246808123,107120.43803012,75340.808778003,31779.629252117,29622160.208362937,2.310835329830963,375.15875591589224,3454.375758272,2.298306245299997,0.8321112898880298,0.8142288957633956,0.8695652173913043,0.00033555007845517134,456.1531170203075
788,2025-05-16,2025-05-18,69352,373276.877494467,260496.463236263,112780.414258204,147716.048978059,58971619.424332544,5.3823520229332535,850.3232700474758,21064.661306638,2.7985405434999957,0.8313168384616542,0.819284738636804,1.0,0.0008252527789298935,933.1921937361676
789,2025-05-18,2025-05-20,71125,353408.3317982,192668.22758080802,160740.104217392,31928.123363415998,55367116.16972011,4.968834190484358,778.4480305057309,19699.648897001,2.6132557788,0.8310332786635962,0.8065996636979881,0.875,0.0003474537113704395,883.5208294954999
790,2025-05-20,2025-05-22,71822,388924.781376562,223191.465236689,165733.316139873,57458.149096816,62295014.55308572,5.415120455801315,867.3528243864794,18500.216193272,2.6456875474999966,0.8306250364189797,0.7999999999999999,0.8749999999999999,0.00037296001692009654,972.3119534414051
791,2025-05-22,2025-05-24,77303,327259.044249288,164220.0580613,163038.986187988,1181.0718733119998,55055613.56061208,4.233458523592719,712.205393847743,9990.675256222,2.427132755699999,0.8307127226889426,0.7946181056138822,1.0,0.0009083912179953383,818.14761062322
792,2025-05-24,2025-05-26,41000,182404.551226101,114209.286250574,68195.264975527,46014.021275047,29630249.006496914,4.448891493319537,722.6890001584613,6722.936534004,3.918365968999987,0.830432744161152,0.8220338983050847,0.8823529411764706,0.00039118884090272283,456.01137806525253
